"fluorophore","UV1 (375)-A","UV2 (390)-A","UV3 (420)-A","UV4 (440)-A","UV5 (460)-A","UV6 (475)-A","UV7 (500)-A","UV8 (515)-A","UV9 (530)-A","UV10 (545)-A","UV11 (575)-A","UV12 (590)-A","UV13 (605)-A","UV14 (625)-A","UV15 (655)-A","UV16 (675)-A","UV17 (700)-A","UV18 (725)-A","UV19 (750)-A","UV20 (780)-A","UV21 (810)-A","UV22 (845)-A","V1 (420)-A","V2 (440)-A","V3 (460)-A","V4 (475)-A","V5 (500)-A","V6 (515)-A","V7 (530)-A","V8 (545)-A","V9 (575)-A","V10 (590)-A","V11 (605)-A","V12 (625)-A","V13 (655)-A","V14 (675)-A","V15 (700)-A","V16 (725)-A","V17 (750)-A","V18 (780)-A","V19 (810)-A","V20 (845)-A","B1 (500)-A","B2 (515)-A","B3 (530)-A","B4 (545)-A","B5 (575)-A","B6 (590)-A","B7 (605)-A","B8 (625)-A","B9 (655)-A","B10 (675)-A","B11 (700)-A","B12 (725)-A","B13 (750)-A","B14 (780)-A","B15 (810)-A","B16 (845)-A","YG1 (575)-A","YG2 (590)-A","YG3 (605)-A","YG4 (625)-A","YG5 (655)-A","YG6 (675)-A","YG7 (700)-A","YG8 (725)-A","YG9 (750)-A","YG10 (780)-A","YG11 (810)-A","YG12 (845)-A","R1 (655)-A","R2 (675)-A","R3 (700)-A","R4 (725)-A","R5 (750)-A","R6 (780)-A","R7 (810)-A","R8 (845)-A"
"PE-Fire 810",0.000837,0.001472,0.005374,0.006416,0.005728,0.003512,0.003869,0.003532,0.003,0.002883,0.021871,0.011586,0.007516,0.005118,0.002905,0.00352,0.007967,0.003578,0.003412,0.023765,0.039578,0.016,0.000429,0.00118,0.001487,0.001424,0.002015,0.002342,0.001946,0.00258,0.024887,0.013736,0.008874,0.005503,0.003296,0.003799,0.008835,0.004135,0.005036,0.0322,0.057,0.025333,0.002555,0.002531,0.003662,0.014293,0.243077,0.123238,0.086513,0.042,0.028622,0.029309,0.070488,0.033096,0.036801,0.225064,0.421774,0.184362,0.557582,0.307693,0.207564,0.127865,0.08117,0.079931,0.195886,0.080691,0.09553,0.585637,1,0.428023,0.001109,0.007823,0.026484,0.013915,0.01122,0.050998,0.090894,0.035227
"PerCP",3.58e-05,-0.00081,-0.00141,-0.00277,-0.00251,-0.00173,-0.00043,0.000275,0.00034,0.000606,0.000705,0.000596,0.000349,0.000495,0.033932,0.598694,0.185243,0.081541,0.071896,0.019071,0.009548,0.005046,0.00025,0.001684,0.002488,0.002037,0.003408,0.005094,0.004039,0.003821,0.004802,0.003242,0.003006,0.002014,0.047087,0.760916,0.230235,0.116519,0.114748,0.028387,0.014787,0.008629,0.002111,0.003021,0.004055,0.005205,0.004629,0.003474,0.003955,0.002322,0.0601,1,0.304002,0.156962,0.138158,0.039485,0.025058,0.015147,0.001816,0.000752,0.001895,0.00156,0.053507,0.830187,0.236638,0.11598,0.115592,0.027832,0.014485,0.006656,0.03521,0.584197,0.158345,0.090566,0.076896,0.020447,0.011152,0.004873
"PerCP-Cy5",0.011686,0.016331,0.061068,0.080699,0.068065,0.042909,0.052714,0.052231,0.046826,0.038186,0.036803,0.03118,0.032128,0.02111,0.0493,0.327843,0.425547,0.196927,0.132985,0.091364,0.036025,0.017601,0.00683,0.026806,0.038992,0.035963,0.053906,0.063302,0.054415,0.045555,0.047658,0.042781,0.042181,0.0254,0.070646,0.520559,0.732548,0.352512,0.280917,0.16756,0.071867,0.036697,0.013355,0.024,0.030709,0.040269,0.042345,0.038932,0.041956,0.021247,0.081287,0.606574,0.904402,0.45876,0.336244,0.20593,0.091828,0.047785,0.027622,0.029105,0.03724,0.027517,0.077975,0.51716,0.827242,0.353688,0.268019,0.167554,0.064017,0.030174,0.036028,0.50202,1,0.520426,0.342864,0.229663,0.098472,0.043773
"PerCP-Fire 806",0.000666,-0.00045,-0.00229,-0.00734,-0.00892,-0.00611,-0.00873,-0.00807,-0.00766,-0.00517,-0.00388,-0.00265,-0.00247,-0.00229,0.000454,0.030548,0.010398,0.004884,0.008646,0.069793,0.120032,0.049759,-0.00059,-0.00143,-0.00026,-0.00017,-4e-04,0.000899,-0.00116,-0.00118,-0.00094,-0.00046,-0.00107,-0.00074,0.004278,0.065448,0.023394,0.012671,0.030587,0.259402,0.481706,0.214488,-0.00089,-0.0015,-0.00208,-0.00122,-0.0014,-0.00023,-7.7e-05,0.000421,0.007642,0.118013,0.042773,0.026168,0.060008,0.510323,1,0.439836,0.001407,0.001987,0.003435,0.002959,0.005808,0.073233,0.02638,0.012586,0.033864,0.253756,0.449729,0.191731,0.004237,0.036785,0.017897,0.010964,0.020378,0.183667,0.363431,0.140934
"Qdot 605",0.000218,0.000521,0.006055,0.008091,0.007076,0.003328,0.00364,0.003308,0.003213,0.003115,0.060391,0.26327,0.835315,0.529693,0.069185,0.018021,0.008432,0.00311,0.000882,0.00094,0.000241,0.000184,0.000242,0.001271,0.001435,0.001499,0.002317,0.002964,0.002532,0.003084,0.07102,0.323933,1,0.542137,0.073104,0.018834,0.009308,0.00281,0.001959,0.000883,0.000331,0.000235,0.000155,0.000241,0.00039,0.001194,0.021973,0.147347,0.538863,0.202147,0.024299,0.004349,0.001705,0.000502,0.000303,0.000329,0.000319,0.000212,0.007746,0.078458,0.317056,0.154269,0.015755,0.002351,0.000661,0.000113,0.000129,0.000146,0.000125,8.15e-05,0.000325,0.000229,0.000197,9.57e-05,0.000115,0.000126,0.000117,6.66e-05
"Qdot 625",6.41e-06,-2.77e-05,-1.8e-05,-3.28e-05,8.41e-06,7.68e-05,0.000379,0.000271,0.000201,0.000609,0.016046,0.06583,0.413568,0.97445,0.319213,0.057857,0.015937,0.003657,0.001828,0.001233,0.000648,0.000427,-1.05e-05,5.9e-05,5.11e-05,0.000161,0.000476,0.000338,0.000268,0.000722,0.0187,0.079652,0.538155,1,0.312918,0.057418,0.015635,0.003932,0.00228,0.001288,0.00068,0.000456,0.000113,4.87e-06,-8.3e-06,0.000267,0.006584,0.035115,0.369607,0.53804,0.183805,0.025914,0.006065,0.001434,0.00078,0.000502,0.000369,0.000215,0.003006,0.018541,0.231764,0.445236,0.133149,0.015524,0.003118,0.00067,0.000481,0.000246,0.000136,0.000106,0.020176,0.005536,0.000851,0.000261,0.000186,0.000128,1.82e-05,7.87e-06
"R718",0.000616,0.001012,0.001343,0.000187,-0.00069,-0.00026,-0.00139,-0.00161,-0.00041,-0.00051,-0.00092,-0.00016,-0.00056,-0.00019,6.98e-05,0.001927,0.020862,0.032027,0.016824,0.013043,0.006482,0.002642,-1.2e-05,0.000886,0.00115,0.001352,0.001848,0.001899,0.001225,0.001049,0.000554,0.000275,0.000466,-9.1e-05,0.000225,0.000523,0.009383,0.015345,0.008589,0.005543,0.003009,0.001113,0.000831,-6e-05,0.000857,0.000723,0.001167,0.000125,0.000915,0.000108,0.000655,0.000643,0.00141,0.002181,0.000992,0.000359,0.000514,0.000599,0.001236,0.001441,0.001924,0.001624,0.001594,0.003355,0.042637,0.05347,0.031549,0.020353,0.011409,0.004026,0.005435,0.044697,0.609976,1,0.518022,0.376384,0.235935,0.089867
"RB545",-3.98e-05,0.000358,0.001469,0.000882,0.000738,0.000498,0.003783,0.010653,0.050168,0.061812,0.040002,0.028252,0.021023,0.010894,0.007502,0.004847,0.003206,0.00124,0.00059,0.000416,8.02e-05,-0.00011,-0.00016,0.000453,0.000242,0.000315,0.002388,0.01022,0.048015,0.063872,0.045109,0.034256,0.025515,0.011587,0.008361,0.005492,0.004512,0.001842,0.001039,-1.05e-05,-8.21e-05,-0.00041,0.018607,0.098854,0.624797,1,0.573391,0.398978,0.325716,0.118796,0.096708,0.054814,0.038616,0.017077,0.008373,0.004091,0.001979,0.00079,0.032278,0.027539,0.024749,0.012957,0.01168,0.006934,0.00553,0.002147,0.001456,0.000644,0.000325,1.79e-05,-0.00023,0.000205,-9.41e-05,9.99e-06,0.000309,0.000436,-8.49e-05,-0.00018
"RB613",0.000142,-3e-04,-0.00166,-0.00323,-0.00417,-0.00269,-0.00304,-0.00285,-0.00239,-0.00179,-6.84e-05,0.011732,0.065592,0.059238,0.030798,0.02402,0.01442,0.004734,0.002277,0.001141,0.000269,-0.00024,-8.99e-05,-0.00062,-0.00046,0.000127,0.000487,0.000565,0.000175,-9.34e-05,0.00124,0.011395,0.059348,0.045431,0.025187,0.019445,0.011661,0.004167,0.002581,0.000771,0.00038,-3.17e-05,0.002245,0.005119,0.003504,0.002534,0.020067,0.177039,1,0.607878,0.411474,0.286694,0.176477,0.063158,0.033895,0.014803,0.006622,0.003163,0.005238,0.051504,0.279839,0.216834,0.136261,0.08852,0.054028,0.017835,0.010983,0.004639,0.001921,0.00063,0.007347,0.007804,0.004623,0.001895,0.001048,0.000916,0.000332,4.69e-06
"RB670",0.000495,0.000766,0.002261,0.002409,0.001729,0.00092,0.001158,0.001273,0.000785,0.000596,5e-04,0.000369,0.000385,0.000501,0.061597,0.103194,0.067474,0.026388,0.01963,0.009656,0.003657,0.001762,5.99e-05,0.000228,0.000204,0.00021,0.000587,0.000854,0.000707,0.00048,0.000412,0.000329,0.000327,0.000524,0.066779,0.107668,0.065832,0.028158,0.024666,0.010111,0.004026,0.002106,0.005548,0.009246,0.006271,0.00581,0.00384,0.00286,0.003274,0.004007,0.676074,1,0.656528,0.257397,0.204074,0.084793,0.036509,0.019152,0.000609,0.000488,0.00047,0.000494,0.039517,0.05772,0.039032,0.014992,0.012662,0.005332,0.002077,0.000987,0.454111,0.884406,0.519106,0.239841,0.182562,0.07605,0.032246,0.014904
"RB705",3e-04,0.000333,-0.00019,-0.00076,-0.00095,-0.00063,-0.00104,-0.00036,-0.00035,-3e-04,-0.00033,1.82e-05,-0.00023,-7.29e-05,0.000939,0.017926,0.122243,0.081674,0.035801,0.029092,0.011382,0.004647,-7.91e-05,-1.43e-05,-1.55e-05,0.000248,0.000108,0.000563,0.000333,0.000245,0.000265,0.000253,-5.61e-06,6.52e-05,0.000517,0.008941,0.06249,0.043442,0.024461,0.017114,0.007239,0.003105,0.002964,0.010161,0.008425,0.006661,0.004659,0.003091,0.00258,0.001185,0.009867,0.145136,1,0.704869,0.35844,0.251256,0.114049,0.048742,0.000487,0.000495,0.000306,0.000397,0.00073,0.006384,0.041881,0.02376,0.012692,0.00898,0.0033,0.001105,0.005778,0.087141,0.548031,0.400237,0.191644,0.149745,0.065777,0.024534
"RB744",3.04e-05,0.000185,0.000489,0.000489,0.000513,0.000227,0.000918,0.002743,0.002313,0.001953,0.001552,0.001129,0.000931,0.00052,0.00038,0.000652,0.00751,0.049009,0.099483,0.057345,0.026392,0.012899,0.000119,0.000176,0.00018,0.000217,0.00032,0.001477,0.001266,0.001097,0.000981,0.000713,0.00057,0.000274,0.000228,0.000317,0.004122,0.027826,0.062206,0.030763,0.015065,0.007941,0.005151,0.018809,0.017471,0.014315,0.010855,0.007525,0.005959,0.002402,0.002638,0.004832,0.076142,0.508873,1,0.510238,0.255197,0.131884,9.4e-05,9.96e-05,7.24e-05,5.53e-05,0.000172,0.000175,0.001954,0.009373,0.018929,0.009989,0.004539,0.002176,0.000222,0.000974,0.0177,0.106577,0.175779,0.097024,0.05001,0.022653
"RB780",0.000268,0.001621,0.004007,0.005263,0.006782,0.003235,0.006385,0.009563,0.007807,0.006111,0.004503,0.003234,0.002577,0.002089,0.000759,0.001227,0.001247,0.002416,0.0324,0.093809,0.045972,0.019115,0.000768,0.000941,0.001504,0.003878,0.004374,0.007983,0.004645,0.003499,0.004186,0.00354,0.003061,0.000868,0.001393,0.001762,0.000311,0.002408,0.022243,0.056261,0.029547,0.012997,0.014044,0.046568,0.043743,0.037034,0.029314,0.020963,0.018949,0.006805,0.007025,0.004355,0.006987,0.028627,0.41899,1,0.561833,0.238771,8.54e-05,-0.00021,0.000204,-0.00014,0.001538,0.001207,0.001524,0.001013,0.011136,0.029703,0.017438,0.00778,0.001156,0.00035,0.001732,0.005014,0.047111,0.108985,0.056157,0.022411
"RY586",0.000428,0.000615,0.001887,0.002065,0.001556,0.000776,0.000773,0.000644,0.000522,0.000719,0.017121,0.02541,0.018801,0.008891,0.007488,0.004243,0.002958,0.001395,0.000697,0.000415,0.000143,5.89e-05,3.23e-05,0.000172,0.000221,0.000184,0.000291,0.000365,0.000335,0.000492,0.01345,0.020536,0.014617,0.00627,0.005686,0.003212,0.002156,0.001031,0.000604,0.000267,9.62e-05,4.16e-05,0.000129,0.000178,0.00024,0.001031,0.036921,0.052141,0.040805,0.014094,0.014795,0.007974,0.005558,0.002642,0.001428,0.000697,0.000343,0.000163,0.699963,1,0.810124,0.335443,0.345315,0.16637,0.122665,0.05178,0.030952,0.014599,0.006175,0.002703,0.000112,0.000143,6.34e-05,5.66e-05,6.68e-05,2.6e-05,-2.12e-05,1.3e-05
"RY655",0.000502,0.000663,0.002227,0.002519,0.001735,0.000976,0.000877,0.000745,0.000594,0.000368,0.000518,0.000331,0.000419,0.000906,0.013408,0.009181,0.006036,0.004143,0.002404,0.001178,0.000619,0.000246,7.3e-05,0.000399,0.000417,0.000414,0.000495,0.000574,0.00047,0.000415,0.00047,0.00034,0.000361,0.001122,0.018133,0.012061,0.007969,0.005581,0.003734,0.001628,0.000876,0.000437,0.000153,0.000243,0.000403,0.000927,0.006822,0.004281,0.005041,0.011065,0.216257,0.132603,0.090017,0.06161,0.039069,0.017399,0.010009,0.004769,0.062823,0.037608,0.035417,0.070179,1,0.57117,0.414296,0.259005,0.171405,0.076132,0.037465,0.016737,0.326185,0.271766,0.171888,0.132541,0.079215,0.034372,0.019719,0.008082
"RY743",0.000528,0.000693,0.002296,0.002592,0.001856,0.00098,0.00087,0.000772,0.000609,0.000479,0.00067,0.000428,0.000384,0.000219,0.000145,0.000141,0.000968,0.005199,0.009734,0.005851,0.002849,0.001416,0.000143,0.000269,0.000218,0.000252,0.000364,0.000456,0.00041,0.00036,0.000432,0.000328,0.000198,0.00014,0.000108,2.73e-05,0.000371,0.001776,0.004029,0.002239,0.001155,0.000617,0.000175,0.000404,0.000485,0.00107,0.00811,0.004956,0.00425,0.002163,0.001727,0.001391,0.010586,0.065595,0.125121,0.065515,0.035666,0.019265,0.070545,0.041482,0.033451,0.022856,0.015944,0.012791,0.098527,0.482412,1,0.520742,0.250533,0.12582,0.000167,0.000384,0.006217,0.033467,0.055993,0.029335,0.016681,0.007626
"RR688",0.000629,0.000845,0.002662,0.002732,0.002063,0.001074,0.000933,0.000743,0.000555,0.000411,0.000338,0.000193,0.000201,0.000127,0.002592,0.016441,0.0228,0.007849,0.006109,0.003779,0.001341,0.000658,0.000127,0.000316,0.00041,0.000352,0.00043,0.000527,0.000398,0.000342,0.000345,0.000253,0.000235,0.000119,0.001978,0.012049,0.016584,0.005993,0.005416,0.002819,0.001079,0.000575,0.000136,0.000241,0.000331,0.000452,0.000462,0.00033,0.000341,0.000136,0.000437,0.001784,0.002575,0.00093,0.000814,0.000425,0.000153,8.13e-05,0.000486,0.000415,0.000483,0.000321,0.013072,0.080533,0.118844,0.0365,0.033313,0.017767,0.006271,0.003143,0.075152,0.673105,1,0.402023,0.318133,0.175097,0.071698,0.033677
"Spark NIR 685",0.001147,0.002082,0.008852,0.011454,0.011015,0.006632,0.006957,0.00647,0.005524,0.003728,0.002738,0.002658,0.001563,0.001269,0.00336,0.017986,0.024233,0.007917,0.005333,0.003828,0.001119,0.000486,0.00077,0.003664,0.004791,0.005108,0.006258,0.007385,0.005513,0.00402,0.004094,0.003485,0.003,0.001546,0.003212,0.012315,0.017298,0.005833,0.004869,0.002691,0.001415,0.000632,0.001411,0.003223,0.003553,0.00322,0.004307,0.002549,0.003388,0.001895,0.00169,0.002956,0.003226,0.00167,0.001299,0.000821,0.000457,0.000483,0.001113,0.001484,0.002084,0.001791,0.014323,0.082378,0.11429,0.032293,0.028642,0.014433,0.004893,0.002164,0.112154,0.746395,1,0.372571,0.268935,0.156837,0.058442,0.026531
"Spark UV 387",0.768854,0.887951,1,0.539065,0.232332,0.086064,0.044537,0.027797,0.019533,0.01143,0.006235,0.005735,0.004267,0.001293,0.002317,0.00309,0.003263,0.001409,5.74e-05,0.001433,0.001508,0.002045,0.002725,0.00377,0.008109,0.006644,0.008459,0.009848,0.008391,0.005058,0.004297,0.003231,0.003494,0.000871,0.002196,0.001271,0.000907,4.18e-05,-6e-04,-0.00082,-0.00052,-0.00121,0.001445,0.000923,0.001501,0.00217,0.003358,0.000467,0.000461,0.000799,0.001961,0.0014,0.00023,0.001038,0.000884,6.96e-05,-0.00017,0.000402,0.001016,-0.00037,0.001893,0.001383,0.0024,0.001832,0.000749,0.000885,-0.00022,0.001373,-0.00078,-0.00056,0.000517,0.000261,-0.00127,-0.00037,0.001274,0.002132,0.000147,0.000526
"Spark YG 593",0.00032,0.000524,0.001173,0.000236,-0.00076,-0.00109,-0.00164,-0.00197,-0.00152,-0.00123,0.013272,0.03832,0.037395,0.020505,0.025673,0.017091,0.014716,0.007033,0.003716,0.002414,0.001246,0.000508,0.000198,0.000604,0.000634,0.000717,0.000353,0.00023,0.000131,-0.00018,0.000321,0.001829,0.001763,0.000711,0.001004,0.000583,0.000516,7.48e-05,-3.82e-05,6.25e-05,-3.48e-05,0.000111,-8.78e-05,-0.00017,9.19e-05,0.000288,0.036907,0.097255,0.100269,0.040121,0.06398,0.037512,0.03249,0.016516,0.009259,0.005181,0.002902,0.001605,0.288112,0.910295,1,0.498127,0.76625,0.429222,0.375458,0.173878,0.112068,0.065285,0.029099,0.013511,0.002267,0.002408,0.002332,0.001127,0.00079,0.000554,0.000317,0.000278
"Super Bright 436",0.000383,0.000638,0.162548,0.345465,0.218589,0.084908,0.054228,0.026084,0.015828,0.007702,0.003266,0.001782,0.000981,0.000422,0.000258,0.000106,0.000194,3.95e-05,-3.71e-05,-1.36e-05,-0.00023,-6.8e-05,0.487532,1,0.589593,0.227338,0.147379,0.078693,0.034203,0.023715,0.011721,0.007587,0.004777,0.001968,0.001467,0.000933,0.000606,0.000283,0.000233,5.53e-05,0.000106,0.000131,-8.25e-05,-0.00016,-0.00036,-1.94e-05,0.000197,8.75e-06,0.000433,-1.38e-05,0.000191,2.66e-06,7.84e-06,0.000125,-2.13e-05,0.000127,-0.00019,-1.87e-05,0.000266,0.000377,0.000384,0.000322,0.000386,0.000372,0.000499,1.14e-05,0.000187,-9.73e-05,-6.31e-05,-0.00011,0.000176,0.000423,0.000523,0.000286,0.000213,0.000172,0.000127,4.68e-07
"Zombie NIR",0.000139,0.000152,0.000242,0.000188,0.00033,0.000384,0.000788,0.000871,9e-04,0.00079,0.000798,0.000706,0.000725,0.000582,0.001092,0.001293,0.003077,0.009097,0.032306,0.024112,0.006971,0.003277,0.000247,0.001046,0.001773,0.001965,0.003489,0.00389,0.002425,0.002323,0.002164,0.001856,0.001679,0.001013,0.001331,0.00138,0.00294,0.011946,0.049894,0.032397,0.010286,0.005147,0.004467,0.007126,0.00689,0.006665,0.005941,0.004887,0.005088,0.002367,0.003974,0.003112,0.005496,0.021799,0.089342,0.060914,0.018652,0.009473,0.003053,0.004446,0.005551,0.004151,0.009117,0.008069,0.013343,0.026519,0.079318,0.051534,0.014873,0.007032,0.047641,0.056927,0.112194,0.346004,1,0.647885,0.199363,0.091747
"V450",0.002065,0.002766,0.019722,0.103476,0.106943,0.04964,0.031079,0.019543,0.011242,0.006535,0.003573,0.001922,0.001556,0.000937,0.000399,0.000189,0.000338,0.000283,6.58e-05,2.43e-05,-4.41e-05,5.04e-05,0.097958,0.955159,1,0.499937,0.281454,0.181304,0.09085,0.050232,0.024463,0.014472,0.00954,0.004122,0.002724,0.001663,0.001238,0.000402,0.000116,3.83e-05,0.00027,-1.72e-05,0.000582,0.001093,0.00159,0.002198,0.00187,0.001433,0.0014,0.000693,0.000575,0.000445,0.000405,0.000177,0.000189,-1e-04,0.000106,2.32e-05,0.002665,0.002048,0.001805,0.001078,0.001376,0.000692,0.001084,0.000294,2.97e-05,0.000212,0.000167,1.84e-05,0.000719,0.000771,0.000482,0.000426,0.000253,0.000114,-2.08e-05,-8.32e-05
"V500",0.009719,0.013337,0.045027,0.053294,0.055629,0.055216,0.125245,0.12418,0.095314,0.064672,0.041603,0.027015,0.021264,0.011451,0.008773,0.005674,0.004527,0.002275,0.000661,0.000703,0.000158,-0.00021,0.003206,0.021741,0.129558,0.337849,0.912346,1,0.734253,0.510931,0.344096,0.231308,0.168771,0.079299,0.054902,0.035101,0.025338,0.011151,0.008161,0.00392,0.001437,-5.33e-05,0.023792,0.029726,0.027123,0.026848,0.019733,0.013835,0.012737,0.005561,0.00493,0.003615,0.003216,0.001561,0.001133,0.000486,0.000328,-7.33e-05,0.008948,0.007065,0.006644,0.004686,0.005031,0.004775,0.003993,0.002499,0.002109,0.000973,0.000701,0.00069,0.003172,0.003686,0.002357,0.0013,0.001672,0.001368,0.000597,0.000199
