"fluorophore","FL07-A","FL08-A","FL10-A","FL09-A","FL11-A","FL06-A","FL05-A","FL04-A","FL03-A","FL00-A","FL01-A","FL02-A","FL16-A","FL15-A","FL17-A","FL18-A","FL13-A","FL14-A","FL12-A","FL23-A","FL22-A","FL21-A","FL19-A","FL20-A","FL37-A","FL36-A","FL38-A","FL39-A","FL42-A","FL41-A","FL40-A","FL31-A","FL32-A","FL34-A","FL33-A","FL35-A","FL24-A","FL26-A","FL25-A","FL28-A","FL27-A","FL30-A","FL29-A","FL46-A","FL47-A","FL43-A","FL45-A","FL44-A","FL48-A","FL49-A","FL50-A"
"BV711",0.000993,0.011382,0.006362,0.006945,0.005823,0.003026,0.000965,0.000542,0.000279,0.026542,0.474018,0.078781,0.187488,0.079644,0.054948,0.02444,0.011629,0.003066,0.001158,0.000251,0.016433,1,0.348221,0.30073,0.00071,0.000188,0.000155,2.07e-05,0.00092,0.052408,0.014817,7.02e-05,-4.26e-05,-7.3e-05,-9.26e-06,0.000563,0.006913,0.031871,0.034738,0.049945,0.00822,0.001775,2.15e-05,0.007958,0.15975,0.343382,0.234512,0.160099,4.33e-05,5.8e-05,-0.00016
"BV750",0.000467,0.023509,0.014174,0.013944,0.010265,0.004642,0.003214,0.002172,0.001681,0.002322,0.644321,0.523681,0.422306,0.196129,0.130697,0.05328,0.023728,0.010229,0.00679,0.004777,0.003242,0.299412,0.999871,1,0.000871,0.001137,0.000653,0.000645,0.000524,0.053922,0.147211,0.000529,0.000446,0.000618,0.000452,0.000507,0.000281,0.001077,0.008245,0.137441,0.025623,0.01095,0.00064,0.000437,0.004782,0.093111,0.499076,0.360435,0.018398,0.010641,0.002752
"BV786",0.000909,0.010983,0.006115,0.006326,0.005127,0.002891,0.000887,0.000133,0.000102,2e-04,0.021837,0.220471,0.178996,0.075393,0.053621,0.024801,0.01187,0.003668,0.001015,0.000382,0.000125,0.00401,0.187803,1,0.000494,0.000572,5.31e-05,-4.43e-05,-1.81e-05,0.000175,0.01396,0.000112,-4e-05,4.87e-05,-2.81e-05,-0.00011,-9.09e-05,-5.49e-05,7.97e-05,0.010234,0.011269,0.001755,0.000162,0.000116,0.000183,0.000239,0.043258,0.138382,0.234895,0.077541,0.015143
"BYG584",0.00032,0.000271,8.17e-05,2.34e-05,-9.17e-06,-5.49e-05,0.001355,0.022394,0.017967,0.008103,0.002084,7.99e-05,-2.58e-05,3.1e-05,-0.00012,6.36e-05,-4.63e-05,0.002506,0.047865,0.033623,0.012166,0.004479,0.000899,0.000349,2.27e-05,0.004544,0.075174,0.060408,0.020824,0.006177,0.001145,0.888995,1,0.887303,0.517999,0.439628,0.104283,0.108332,0.062237,0.080691,0.011383,0.003039,0.000156,0.000111,1.2e-05,1.91e-05,4.63e-05,4.95e-05,-1.19e-05,-1.58e-05,0.000193
"FITC",0.001697,0.000781,0.000867,0.000973,0.002093,0.029082,0.025111,0.009562,0.004327,0.001187,0.001198,1.28e-05,0.000205,-0.00012,6.17e-06,0.000352,0.017512,0.014578,0.005975,0.00128,0.000194,0.000185,5.41e-05,-7.18e-05,1,0.449039,0.088821,0.051889,0.009937,0.001814,0.000562,2.71e-05,0.000117,-6.41e-05,-6.95e-05,0.000114,0.000157,0.000295,5.27e-05,5.73e-05,-8.57e-05,4.76e-05,-9.45e-06,0.000124,5.01e-05,0.000165,2.6e-05,0.000686,7.5e-05,0.000192,-0.00031
"Pacific Blue",-0.00019,-4.03e-06,0.019241,0.059759,0.054965,0.023947,0.005972,0.001372,0.001585,0.001167,-0.00083,0.000164,0.085238,0.435908,1,0.622021,0.319753,0.070514,0.022896,0.008991,0.002644,0.000861,3.11e-05,-0.00027,-1e-04,-8.49e-05,0.000146,-2.63e-05,2.11e-06,-3.98e-05,7.23e-05,-6.28e-05,9.32e-05,-0.00016,0.000267,-3.48e-05,0.000473,-0.00118,-3.39e-05,0.000272,0.000603,-6.94e-05,-2.75e-05,0.000164,0.000178,5.15e-05,8.97e-05,-0.00028,6.54e-06,-0.00012,-6.81e-05
"PE",0.000509,0.000371,0.000279,0.00029,0.000594,0.00037,0.009968,0.11102,0.049428,0.016107,0.004632,0.000329,-2.24e-05,3.17e-05,-0.00014,2.2e-05,0.000151,0.010139,0.126136,0.047553,0.012059,0.004566,0.000457,0.000432,0.003764,0.0627,0.565456,0.310491,0.076492,0.024107,0.0044,1,0.614139,0.472395,0.316216,0.171139,0.047919,0.049862,0.023955,0.030167,0.003031,0.000742,3.42e-05,6.7e-05,-1.43e-05,4.81e-07,-1.74e-05,0.000111,-8.92e-06,-1.62e-05,-1.18e-05
"PE-CF594",0.000231,-3.2e-05,0.000235,6.02e-05,0.000594,0.000521,0.00095,0.006675,0.116817,0.056549,0.020949,0.001291,-4.39e-05,-4.64e-05,-0.00012,0.00018,0.000423,0.000815,0.007098,0.108447,0.035184,0.01963,0.004389,0.002055,0.001316,0.005967,0.071253,0.77803,0.274322,0.095879,0.028828,0.060874,0.184789,1,0.920003,0.588941,0.230513,0.219116,0.104462,0.168542,0.023526,0.007424,0.000248,0.001196,1.32e-05,8.5e-05,2.36e-05,-0.00044,3.78e-05,1.74e-05,-8.92e-05
"PE-Cy5",0.000156,0.000124,6.39e-05,7.5e-05,0.000197,0.000126,0.000254,0.000698,0.000472,0.109148,0.045868,0.005861,-2.83e-05,-3.02e-05,8.18e-07,-6.31e-06,0.000168,0.000257,0.000919,0.000368,0.057625,0.034381,0.013356,0.007365,0.000687,0.002188,0.005656,0.004604,0.573273,0.220852,0.066137,0.009176,0.005598,0.004611,0.006348,1,0.430435,0.348573,0.218412,0.394524,0.05409,0.018978,0.000729,0.316885,0.078715,0.08372,0.072973,0.03282,-1.85e-05,-8.43e-06,7.88e-06
"PE-Cy5.5",0.000273,7.07e-06,0.000663,-7.87e-05,-0.00158,-0.00371,-0.00086,0.010617,0.004232,0.039056,0.108838,0.015873,0.000419,0.000969,0.00162,0.001514,0.000518,0.001053,0.013208,0.005489,0.010814,0.099233,0.028953,0.021313,0.000847,0.002415,0.015656,0.006979,0.03499,0.107454,0.034896,0.116713,0.073093,0.055473,0.03844,0.149956,0.523197,1,0.536327,0.776222,0.141323,0.047818,0.002593,0.009559,0.067087,0.064216,0.040029,0.025583,0.000152,-4.02e-05,-3.33e-05
"PE-Cy7",0.001226,0.000845,0.000613,0.00078,0.00114,0.001198,0.001001,0.001524,0.000561,2.63e-05,0.00596,0.084787,-9.83e-05,0.000127,4.97e-05,0.000511,0.000482,0.001032,0.001036,2e-04,-2.2e-06,0.000121,0.020102,0.113723,0.002681,0.007674,0.01075,0.006075,0.000986,0.012682,0.584968,0.01631,0.00902,0.007171,0.004427,0.002486,0.000483,0.001106,0.007506,1,0.85751,0.233389,0.017317,7.26e-05,-1.36e-05,0.000106,0.040176,0.114179,0.29472,0.104997,0.027014
"PE-Dazzle 594",-0.00104,-0.00102,-0.00064,-0.00146,-0.0039,-0.00432,-0.00185,0.007402,0.105168,0.048031,0.014473,0.001539,-0.00048,-0.00056,-0.00051,-0.00028,-0.00056,-0.00014,0.008049,0.10606,0.032362,0.013789,0.004058,0.001731,0.00037,0.001487,0.018659,0.131497,0.046617,0.014595,0.003994,0.086068,0.213911,1,0.866287,0.532906,0.195292,0.168546,0.078874,0.125088,0.014751,0.004052,0.000148,0.001029,0.000329,0.000202,0.000224,0.000366,-1.27e-05,1.22e-05,1.87e-05
"PE-Fire 640",-0.00091,-0.00126,-0.00023,-0.00148,-0.00444,-0.00535,-0.00301,0.000495,0.016966,0.092468,0.043773,0.004439,-0.00055,0.000472,0.001255,0.000872,8.5e-05,-0.00042,0.001645,0.01917,0.071368,0.035934,0.012385,0.006131,0.000616,0.001151,0.003339,0.019615,0.086402,0.042005,0.011338,0.023202,0.016746,0.047678,0.224801,1,0.262657,0.30644,0.21395,0.294826,0.050396,0.015823,0.000459,0.141429,0.033142,0.041464,0.026001,0.015223,-5.05e-06,-4.64e-05,4.11e-06
"PE-Fire 810",-8.38e-05,-0.00095,-0.00085,-0.00109,-0.00169,-0.00231,0.006425,0.051159,0.035565,0.025251,0.015562,0.120238,-0.00051,-0.00038,5.14e-06,8.12e-05,0.000286,0.005682,0.047782,0.024369,0.009689,0.007516,0.003415,0.148967,0.001839,0.007228,0.056757,0.025465,0.008587,0.00588,0.107817,0.438017,0.274316,0.207986,0.140026,0.08388,0.039017,0.053647,0.028709,0.100031,1,0.336863,0.022671,0.001219,0.001652,0.001587,0.002129,0.06083,0.782614,0.343584,0.059572
"PerCP",0.015473,0.003653,0.001799,0.003719,0.009458,0.01075,0.004925,0.00393,0.002114,0.431174,0.143445,0.007724,0.00187,0.00091,-0.00214,0.001864,0.003101,0.001956,0.001414,0.000841,0.208464,0.119209,0.076526,0.020928,0.000886,0.002336,0.000101,0.000631,1,0.275232,0.092224,-2.94e-06,-5.1e-06,0.000418,-3e-04,0.36356,0.396322,0.14119,0.086844,0.261831,0.011711,0.003211,0.000145,0.095247,0.021464,0.020148,0.034729,0.007212,6.85e-05,0.000358,-0.00045
"PerCP-Cy5",0.008757,0.004615,0.003597,0.005927,0.008309,0.008191,0.004453,-0.00039,0.001614,0.349844,0.410438,0.045253,0.000598,4.94e-05,-0.00067,-0.00327,0.00544,0.00378,0.001585,0.000743,0.1673,0.716506,0.218945,0.165196,0.001943,0.003822,0.001559,0.000603,0.599711,1,0.315529,-0.00042,-6.84e-05,-0.00033,3.44e-06,0.213149,0.385231,0.490607,0.273553,0.427827,0.053184,0.012298,0.000605,0.085342,0.244405,0.23779,0.17559,0.095613,2e-04,0.000243,-0.00162
"R718",0.003488,0.004166,0.003195,0.002842,0.004247,0.00534,0.002005,0.000563,-0.00067,0.005687,0.262841,0.058378,0.000357,0.000203,0.001255,0.001966,0.001993,0.001461,0.000852,0.000307,0.000313,0.050148,0.01941,0.019616,0.002149,0.002351,0.000489,0.000387,0.000275,0.00522,0.000986,-0.00027,-2e-04,7.4e-05,4.76e-05,0.001253,0.008078,0.045598,0.070404,0.107571,0.021556,0.004309,4.67e-05,0.009854,0.319083,1,0.724551,0.701215,-0.00031,0.000675,0.000741
"RB545",0.003999,0.004342,0.003403,0.005065,0.009607,0.014807,0.076663,0.036298,0.027682,0.018294,0.010705,0.004317,0.002015,0.003025,0.007665,0.009364,0.018368,0.081183,0.03954,0.02151,0.009413,0.008599,0.003741,0.005628,0.415134,1,0.233413,0.180535,0.05663,0.016026,0.004709,0.003105,0.003599,0.006646,0.004229,0.008364,0.004144,0.004083,0.002792,0.007423,0.000776,0.000586,0.000347,0.002525,0.001304,0.002176,0.002005,0.002239,2.42e-05,0.000109,0.00096
"RB670",0.000313,0.000374,0.000187,0.00022,0.000573,0.000772,0.000801,0.000188,0.000273,0.114951,0.044065,0.004537,-1.14e-05,-3.97e-05,5.86e-05,0.000146,0.000684,5e-04,0.000157,0.000158,0.058049,0.035516,0.013132,0.006497,0.011451,0.005819,0.00116,0.003056,1,0.351983,0.118086,2.41e-06,-1.34e-06,-6.99e-06,-2.25e-06,0.021482,0.010227,0.008253,0.003587,0.007989,0.000631,0.000208,1.55e-05,0.25748,0.07261,0.065433,0.062128,0.02624,8.22e-06,-2.92e-05,1.96e-05
"RB705",0.000237,0.00023,0.000113,0.000214,0.000237,0.000767,0.001168,0.000354,0.000239,0.014539,0.165064,0.029562,-2.15e-05,-3.46e-05,0.000101,1.6e-05,0.000372,0.000483,0.000165,8.03e-05,0.000838,0.06849,0.018765,0.019559,0.015649,0.011562,0.003351,0.002094,0.085161,1,0.301607,3.45e-06,-1.2e-05,2.73e-05,-1.01e-05,0.000236,0.003405,0.011464,0.009023,0.011011,0.001896,0.000381,3.37e-05,0.004623,0.080331,0.125833,0.074654,0.057522,3.87e-05,8.59e-06,1.74e-05
"RB744",0.001067,0.000829,0.00032,0.000621,0.000833,0.001711,0.002342,0.001117,0.000592,0.000257,0.149115,0.08429,3.11e-05,4.23e-06,1.56e-05,-0.00016,0.000961,0.001535,0.000564,0.00024,-7.14e-05,0.010756,0.052137,0.050479,0.035116,0.026812,0.008485,0.005414,0.002629,0.610516,1,9.48e-06,-3.53e-05,3.31e-05,1.63e-05,-5.26e-05,-2.69e-05,0.000241,0.00127,0.018439,0.003046,0.000735,4.01e-05,4.88e-05,0.000568,0.024266,0.077388,0.053896,0.001498,0.000944,0.000251
"RB780",0.00036,0.000611,0.000195,0.000331,0.001041,0.004124,0.00806,0.00379,0.001827,0.001405,0.008164,0.118785,5.94e-05,6.12e-05,0.00014,0.000102,0.002307,0.004705,0.002135,0.000647,-7.31e-06,0.000251,0.010411,0.077371,0.093765,0.07713,0.027022,0.020659,0.008269,0.028516,1,-6.72e-05,2.53e-05,3.3e-05,-1.71e-05,0.000121,0.000273,0.00035,-6.49e-06,0.006318,0.009546,0.002881,0.000105,2.41e-05,-1.63e-05,0.000133,0.013786,0.04779,0.26965,0.11505,0.029669
"RR688",0.002039,0.001822,0.001289,0.00208,0.002323,0.001789,0.001542,0.000341,0.000247,0.107514,0.121907,0.01444,0.000375,-0.00011,5.31e-05,-0.00017,0.001532,0.001517,0.000294,-0.00015,0.017448,0.06468,0.018196,0.009514,0.001659,0.0013,0.000184,-1.19e-05,0.002766,0.002213,0.00059,6.99e-05,-2.12e-05,-8.23e-05,6.5e-05,0.091611,0.163158,0.194668,0.086342,0.161038,0.019092,0.005979,0.000183,0.578316,1,0.748695,0.706135,0.355105,7.08e-07,-0.00016,-0.00055
"RY568",0.000583,0.000483,0.00035,0.000656,0.001202,0.000897,0.002888,0.042006,0.049275,0.023875,0.005751,0.000424,7.76e-05,2.73e-05,0.000199,5.24e-05,0.00044,0.002195,0.026232,0.026151,0.008775,0.00234,7.95e-05,0.000567,0.000507,0.002712,0.061489,0.061779,0.020731,0.004764,0.000459,0.627757,1,0.992686,0.474244,0.434096,0.09896,0.09852,0.059242,0.076763,0.008857,0.002695,8.69e-05,5.28e-05,1.5e-05,2.25e-05,6.19e-07,2.29e-05,6.57e-05,7.97e-05,-0.00013
"RY655",0.000256,9.79e-05,9.08e-05,0.000228,0.000179,0.000587,0.00037,0.000215,0.000339,0.016638,0.007098,0.000399,3.13e-05,5.63e-05,0.000176,0.000315,0.000386,0.000135,0.000243,0.000135,0.00997,0.003614,0.001063,0.00076,0.000352,0.000625,0.002481,0.006961,0.143468,0.060081,0.017627,0.016828,0.012202,0.014673,0.044706,1,0.223343,0.222154,0.183802,0.307107,0.05244,0.017684,0.000383,0.155149,0.0244,0.036806,0.028218,0.017071,4.35e-05,6.66e-06,-8.21e-05
"RY743",0.000408,0.000359,0.000222,0.000401,3e-04,0.000308,0.000195,9.57e-05,0.000167,5.77e-05,0.010902,0.004084,0.000126,-1.28e-05,5.02e-05,0.000156,0.000282,0.000192,6.67e-05,0.000104,-6.37e-05,0.000393,0.001586,0.001431,0.000166,0.000721,0.002844,0.002063,0.00038,0.050479,0.066519,0.020559,0.014413,0.01396,0.01018,0.006812,0.004874,0.02642,0.141256,1,0.201241,0.08007,0.00417,1.85e-06,8.43e-06,0.005975,0.018296,0.01234,0.000159,0.000109,2.01e-05
"V450",0.00165,0.002996,0.020951,0.052366,0.05842,0.028804,0.007624,0.001279,0.000741,0.000308,6.93e-05,7.08e-06,0.126275,0.574027,1,0.609849,0.296594,0.073392,0.025279,0.006622,0.000423,0.000177,-0.00016,0.000387,0.001004,0.000693,0.000381,0.000187,0.000418,-0.00012,7.7e-05,-0.00023,7.11e-05,-4.18e-05,-0.00015,-6.58e-06,-0.00028,-6e-04,-4.71e-05,0.000441,0.000177,-0.00011,0.000154,5.92e-05,-8.47e-05,0.000168,-0.00032,0.000483,7.45e-05,0.000106,-0.00031
"V500",0.007625,0.006413,0.006587,0.014812,0.063085,0.132452,0.105277,0.047685,0.035108,0.024583,0.016864,0.006519,0.003922,0.005796,0.085032,0.336029,1,0.651309,0.302683,0.153912,0.042771,0.016468,0.006515,0.008821,0.062005,0.039765,0.012543,0.01596,0.010608,0.007382,0.005718,0.002598,0.004316,0.005845,0.007052,0.011115,0.00477,0.005573,0.004774,0.007882,0.00276,0.000871,0.000516,0.002883,0.00148,0.002706,0.003203,0.001287,0.00045,0.000475,-0.00022
"SBV515",0.005141,0.007145,0.011727,0.024365,0.036178,0.383642,0.205836,0.078784,0.035062,0.013007,0.00227,5.25e-05,0.010151,0.050647,0.137463,0.149643,1,0.462189,0.161601,0.068882,0.018094,0.004229,0.001031,0.00042,0.019492,0.007091,0.002106,0.000923,0.000299,2.6e-05,5.37e-05,4e-04,0.000534,0.000632,0.000423,0.000126,0.000504,0.000261,6.07e-05,0.000382,0.000268,-2.77e-05,-2.15e-05,-1.44e-05,1.34e-05,8.68e-05,8.4e-05,-0.00015,1.9e-05,-0.00013,-0.00017
"Spark NIR 685",-0.00156,-0.00651,-0.00371,-0.00821,-0.01575,-0.01892,-0.01207,-0.00646,-0.00474,0.120761,0.113076,0.014102,-0.00395,-0.00128,-0.00095,-0.00035,-0.00508,-0.00652,-0.0027,-0.00212,0.023327,0.06053,0.021314,0.009263,0.000452,0.000249,0.00054,0.000359,0.002082,0.001612,0.000383,0.002402,0.004234,0.003706,0.003056,0.111875,0.196337,0.215125,0.094169,0.182506,0.021483,0.006084,0.000136,0.588241,1,0.750582,0.649765,0.30393,0.004163,0.001448,5.18e-06
"Spark Violet 538",0.009513,0.015757,0.023861,0.021465,0.023219,0.127374,0.275572,0.21766,0.184258,0.105175,0.026703,0.001594,0.01084,0.016406,0.040012,0.077807,0.517315,1,0.691024,0.566889,0.228577,0.09258,0.02772,0.01132,0.004421,0.004147,0.0028,0.001165,0.000612,-1.22e-05,-8.43e-06,0.000408,0.001382,0.00242,0.002215,0.00165,0.000312,-0.00261,0.000131,-0.00034,-0.00052,0.000117,-2.12e-05,0.000108,5.97e-05,-0.00013,0.000263,0.000452,0.000266,-6.32e-06,-4.43e-05
"Spark YG 593",0.000748,-0.00021,7.66e-05,-0.00075,-0.00286,-0.00403,-0.00218,0.028534,0.094747,0.08428,0.037814,0.006346,-0.00027,4.82e-05,0.000313,-0.00018,-0.00178,-0.00216,0.000804,0.005135,0.003547,0.001503,0.000419,0.000124,-9.64e-05,2.7e-05,0.017142,0.025413,0.017676,0.008028,0.002672,0.248704,0.789502,1,0.553513,0.814916,0.23611,0.25851,0.166574,0.275778,0.053499,0.02026,0.001111,0.000835,0.000237,0.000188,0.000134,9.81e-05,1.44e-05,-2.19e-06,7.21e-07
"ViaKrome 808",-0.00049,-0.00167,-0.00013,0.000832,0.004061,0.014008,0.017502,0.012916,0.012024,0.011086,0.0226,0.018581,-4.99e-05,0.002385,0.008817,0.014781,0.027725,0.021431,0.01345,0.010962,0.006795,0.009682,0.017207,0.058235,0.00627,0.007264,0.003875,0.003361,0.002126,0.002192,0.006038,0.008714,0.013001,0.020061,0.015398,0.025189,0.011482,0.013834,0.01126,0.035249,0.006715,0.010132,0.00281,0.01519,0.02177,0.059829,0.09786,0.120132,0.167618,0.710372,1
